,rates
AED,3.764597
AFN,91.510844
ALL,117.053743
AMD,426.600488
ANG,1.850433
AOA,440.78837
ARS,132.357543
AUD,1.482799
AWG,1.842277
AZN,1.74948
BAM,1.956394
BBD,2.073098
BDT,96.489415
BGN,1.956141
BHD,0.386334
BIF,2114.192594
BMD,1.02491
BND,1.428882
BOB,7.058935
BRL,5.548963
BSD,1.026796
BTC,4.3070482e-05
BTN,82.08516
BWP,13.063266
BYN,2.591647
BYR,20088.24479
BZD,2.069597
CAD,1.318773
CDF,2052.384686
CHF,0.992964
CLF,0.039029
CLP,1076.935528
CNY,6.91855
COP,4424.692143
CRC,701.296374
CUC,1.02491
CUP,27.160127
CVE,110.294642
CZK,24.490206
DJF,182.792693
DKK,7.444724
DOP,55.909845
DZD,149.405269
EGP,19.421952
ERN,15.373657
ETB,53.601043
EUR,1.0
FJD,2.255107
FKP,0.86332
GBP,0.853535
GEL,3.013305
GGP,0.86332
GHS,8.345006
GIP,0.86332
GMD,55.437447
GNF,8906.501957
GTQ,7.944258
GYD,214.961967
HKD,8.045516
HNL,25.248264
HRK,7.515362
HTG,120.014451
HUF,397.034909
IDR,15348.546421
ILS,3.516724
IMP,0.86332
INR,81.935492
IQD,1498.551984
IRR,43404.95769
ISK,139.121198
JEP,0.86332
JMD,155.773905
JOD,0.726701
JPY,141.547327
KES,121.543284
KGS,81.597625
KHR,4194.513771
KMF,476.199048
KPW,922.419395
KRW,1343.411971
KWD,0.315273
KYD,0.855547
KZT,492.902088
LAK,15445.252365
LBP,1552.44752
LKR,367.567858
LRD,156.301184
LSL,16.234821
LTL,3.026294
LVL,0.619958
LYD,5.034151
MAD,10.584651
MDL,19.84202
MGA,4320.075338
MKD,61.632767
MMK,1901.038708
MNT,3222.994883
MOP,8.301793
MRO,365.892854
MUR,45.813373
MVR,15.732152
MWK,1053.898805
MXN,21.031444
MYR,4.561848
MZN,65.420431
NAD,16.234537
NGN,425.74866
NIO,36.816409
NOK,10.140065
NPR,131.346271
NZD,1.638504
OMR,0.394575
PAB,1.026696
PEN,4.009656
PGK,3.664535
PHP,57.656291
PKR,227.169786
PLN,4.755476
PYG,7054.333536
QAR,3.731726
RON,4.941504
RSD,117.40319
RUB,56.39567
RWF,1052.053538
SAR,3.849188
SBD,8.363237
SCR,13.263976
SDG,467.856711
SEK,10.462465
SGD,1.426783
SHP,1.411709
SLL,13498.070421
SOS,599.062898
SRD,23.199897
STD,21213.576997
SVC,8.98359
SYP,2575.117668
SZL,17.41482
THB,37.607067
TJS,10.344481
TMT,3.597436
TND,3.139814
TOP,2.405208
TRY,17.996971
TTD,6.969009
TWD,30.648406
TZS,2390.090943
UAH,30.334144
UGX,3893.922492
USD,1.02491
UYU,43.086159
UZS,11242.890961
VND,24008.527255
VUV,121.857778
WST,2.788751
XAF,656.15255
XAG,0.054506
XAU,0.0006
XCD,2.769872
XDR,0.780625
XOF,656.146146
XPF,115.968076
YER,256.483904
ZAR,17.540115
ZMK,9225.437243
ZMW,16.864461
ZWL,330.020746
